"","PFC","Subcortical","CompositeRecoded.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"1","Dorsal_ACC","Accum",-1.173,-0.015,0,0.214890387597728,0.0414870582426342,0.13191627111246,0.297864504082997,-0.0318815503899955,0.461662325585453
"2","InferiorFrontalGyrus","Accum",-1.173,-0.015,0,0.123333271990472,0.0414870582426307,0.0403591555052109,0.206307388475734,-0.123438665997249,0.370105209978194
"3","Lateral_OFC","Accum",-1.173,-0.015,0,0.146105672222378,0.0414870582426307,0.0631315557371166,0.22907978870764,-0.100666265765344,0.3928776102101
"4","Medial_OFC","Accum",-1.173,-0.015,0,0.210755664316983,0.0414870582426308,0.127781547831722,0.293729780802245,-0.0360162736707385,0.457527602304705
"5","MiddleFrontalGyrus","Accum",-1.173,-0.015,0,0.100492522442239,0.0414870582426307,0.0175184059569776,0.1834666389275,-0.146279415545483,0.347264460429961
"6","SuperiorFrontalGyrus","Accum",-1.173,-0.015,0,0.149359228701746,0.0414870582426307,0.066385112216485,0.232333345187008,-0.0974127092859753,0.396131166689468
"7","Ventral_ACC","Accum",-1.173,-0.015,0,0.282739967975376,0.0414870582426309,0.199765851490115,0.365714084460638,0.0359680299876547,0.529511905963098
"8","Dorsal_ACC","Caudate",-1.173,-0.015,0,0.278646279712674,0.0414870582426306,0.195672163227412,0.361620396197935,0.0318743417249519,0.525418217700395
"9","InferiorFrontalGyrus","Caudate",-1.173,-0.015,0,0.169924543308783,0.0414870582426308,0.0869504268235212,0.252898659794045,-0.0768473946789389,0.416696481296505
"10","Lateral_OFC","Caudate",-1.173,-0.015,0,0.19501173418886,0.0414870582426308,0.112037617703598,0.277985850674121,-0.0517602037988621,0.441783672176582
"11","Medial_OFC","Caudate",-1.173,-0.015,0,0.170412930409434,0.0414870582426308,0.0874388139241719,0.253387046894695,-0.0763590075782882,0.417184868397155
"12","MiddleFrontalGyrus","Caudate",-1.173,-0.015,0,0.159498827104804,0.0414870582426308,0.0765247106195426,0.242472943590066,-0.0872731108829175,0.406270765092526
"13","SuperiorFrontalGyrus","Caudate",-1.173,-0.015,0,0.206549553406348,0.0414870582426308,0.123575436921086,0.28952366989161,-0.0402223845813736,0.45332149139407
"14","Ventral_ACC","Caudate",-1.173,-0.015,0,0.294824239438321,0.0414870582426308,0.211850122953059,0.377798355923582,0.0480523014505988,0.541596177426042
"15","Dorsal_ACC","Putamen",-1.173,-0.015,0,0.344204575477055,0.0414870582426306,0.261230458991794,0.427178691962317,0.0974326374893337,0.590976513464777
"16","InferiorFrontalGyrus","Putamen",-1.173,-0.015,0,0.230621460233917,0.0414870582426308,0.147647343748655,0.313595576719179,-0.0161504777538049,0.477393398221639
"17","Lateral_OFC","Putamen",-1.173,-0.015,0,0.175029119411034,0.0414870582426308,0.092055002925772,0.258003235896295,-0.071742818576688,0.421801057398756
"18","Medial_OFC","Putamen",-1.173,-0.015,0,0.16967339053635,0.0414870582426308,0.086699274051088,0.252647507021611,-0.0770985474513721,0.416445328524071
"19","MiddleFrontalGyrus","Putamen",-1.173,-0.015,0,0.115733170574964,0.0414870582426308,0.032759054089702,0.198707287060225,-0.131038767412758,0.362505108562685
"20","SuperiorFrontalGyrus","Putamen",-1.173,-0.015,0,0.164038422179515,0.0414870582426308,0.0810643056942534,0.247012538664777,-0.0827335158082066,0.410810360167237
"21","Ventral_ACC","Putamen",-1.173,-0.015,0,0.189094461661,0.0414870582426308,0.106120345175738,0.272068578146261,-0.0576774763267222,0.435866399648721
"22","Dorsal_ACC","Accum",-0.673,-0.015,0,0.2227923256741,0.0301838167876279,0.162424692098844,0.283159959249356,-0.017324180537328,0.462908831885527
"23","InferiorFrontalGyrus","Accum",-0.673,-0.015,0,0.138284913357516,0.0301838167876264,0.0779172797822636,0.198652546932769,-0.10183159285391,0.378401419568943
"24","Lateral_OFC","Accum",-0.673,-0.015,0,0.161707387957545,0.0301838167876264,0.101339754382292,0.222075021532798,-0.0784091182538822,0.401823894168972
