"","PFC","Subcortical","MAOA.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"408","InferiorFrontalGyrus","Caudate",-0.273,0.006,0,0.256405255067568,0.01575249432748,0.224900266412608,0.287910243722528,0.0226962572756236,0.490114252859513
"409","Lateral_OFC","Caudate",-0.273,0.006,0,0.239359668872624,0.01575249432748,0.207854680217665,0.270864657527584,0.00565067108067971,0.473068666664569
"410","Medial_OFC","Caudate",-0.273,0.006,0,0.19688690387573,0.01575249432748,0.16538191522077,0.228391892530689,-0.0368220939162152,0.430595901667674
"411","MiddleFrontalGyrus","Caudate",-0.273,0.006,0,0.208708271697596,0.01575249432748,0.177203283042636,0.240213260352556,-0.0250007260943485,0.442417269489541
"412","SuperiorFrontalGyrus","Caudate",-0.273,0.006,0,0.256793407058355,0.01575249432748,0.225288418403395,0.288298395713315,0.0230844092664103,0.4905024048503
"413","Ventral_ACC","Caudate",-0.273,0.006,0,0.320251526857511,0.01575249432748,0.288746538202551,0.351756515512471,0.0865425290655658,0.553960524649455
"414","Dorsal_ACC","Putamen",-0.273,0.006,0,0.442886128317714,0.01575249432748,0.411381139662754,0.474391116972674,0.209177130525769,0.676595126109658
"415","InferiorFrontalGyrus","Putamen",-0.273,0.006,0,0.338133144953654,0.01575249432748,0.306628156298694,0.369638133608614,0.104424147161709,0.571842142745599
"416","Lateral_OFC","Putamen",-0.273,0.006,0,0.242591346075822,0.01575249432748,0.211086357420862,0.274096334730782,0.00888234828387741,0.476300343867767
"417","Medial_OFC","Putamen",-0.273,0.006,0,0.214627353436824,0.01575249432748,0.183122364781864,0.246132342091784,-0.0190816443551212,0.448336351228768
"418","MiddleFrontalGyrus","Putamen",-0.273,0.006,0,0.190099117635647,0.01575249432748,0.158594128980687,0.221604106290607,-0.0436098801562976,0.423808115427592
"419","SuperiorFrontalGyrus","Putamen",-0.273,0.006,0,0.260928344271737,0.01575249432748,0.229423355616777,0.292433332926697,0.0272193464797927,0.494637342063682
"420","Ventral_ACC","Putamen",-0.273,0.006,0,0.285868127687711,0.01575249432748,0.254363139032751,0.317373116342671,0.052159129895766,0.519577125479656
"421","Dorsal_ACC","Accum",0.727,0.006,0,0.318806775621646,0.0199097521263884,0.278987271368869,0.358626279874423,0.0838324700950569,0.553781081148236
