"","PFC","Subcortical","DAT1.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"1","Dorsal_ACC","Accum",-0.5,-0.015,0,0.213538950728503,0.034857722690604,0.143823505347295,0.283254396109711,-0.0325179867905417,0.459595888247548
"2","InferiorFrontalGyrus","Accum",-0.5,-0.015,0,0.143250929270051,0.0348577226906045,0.0735354838888421,0.21296637465126,-0.102806008248994,0.389307866789096
"3","Lateral_OFC","Accum",-0.5,-0.015,0,0.163950533564835,0.0348577226906045,0.0942350881836264,0.233665978946045,-0.0821064039542095,0.41000747108388
"4","Medial_OFC","Accum",-0.5,-0.015,0,0.212309169853054,0.0348577226906045,0.142593724471845,0.282024615234263,-0.0337477676659914,0.458366107372099
"5","MiddleFrontalGyrus","Accum",-0.5,-0.015,0,0.115038066441187,0.0348577226906045,0.0453226210599781,0.184753511822396,-0.131018871077858,0.361095003960232
"6","SuperiorFrontalGyrus","Accum",-0.5,-0.015,0,0.160125687318859,0.0348577226906045,0.0904102419376494,0.229841132700068,-0.0859312502001864,0.406182624837904
"7","Ventral_ACC","Accum",-0.5,-0.015,0,0.296503144146495,0.0348577226906045,0.226787698765286,0.366218589527704,0.0504462066274503,0.54256008166554
"8","Dorsal_ACC","Caudate",-0.5,-0.015,0,0.222513892184285,0.0348577226906046,0.152798446803076,0.292229337565495,-0.0235430453347596,0.46857082970333
"9","InferiorFrontalGyrus","Caudate",-0.5,-0.015,0,0.141490051518209,0.0348577226906047,0.0717746061369995,0.211205496899418,-0.104566886000836,0.387546989037254
"10","Lateral_OFC","Caudate",-0.5,-0.015,0,0.169971162052797,0.0348577226906047,0.100255716671587,0.239686607434006,-0.0760857754662484,0.416028099571842
"11","Medial_OFC","Caudate",-0.5,-0.015,0,0.151216067937357,0.0348577226906047,0.0815006225561476,0.220931513318566,-0.0948408695816881,0.397273005456402
"12","MiddleFrontalGyrus","Caudate",-0.5,-0.015,0,0.147157661470515,0.0348577226906047,0.0774422160893053,0.216873106851724,-0.0988992760485304,0.39321459898956
"13","SuperiorFrontalGyrus","Caudate",-0.5,-0.015,0,0.177740669299748,0.0348577226906047,0.108025223918538,0.247456114680957,-0.0683162682192974,0.423797606818793
"14","Ventral_ACC","Caudate",-0.5,-0.015,0,0.248291897373689,0.0348577226906047,0.17857645199248,0.318007342754898,0.002234959854644,0.494348834892734
"15","Dorsal_ACC","Putamen",-0.5,-0.015,0,0.411918511715182,0.0348577226906046,0.342203066333972,0.481633957096391,0.165861574196137,0.657975449234227
"16","InferiorFrontalGyrus","Putamen",-0.5,-0.015,0,0.282785053683659,0.0348577226906047,0.21306960830245,0.352500499064869,0.0367281161646142,0.528841991202704
"17","Lateral_OFC","Putamen",-0.5,-0.015,0,0.205444972581463,0.0348577226906047,0.135729527200253,0.275160417962672,-0.0406119649375824,0.451501910100508
"18","Medial_OFC","Putamen",-0.5,-0.015,0,0.185590063115266,0.0348577226906047,0.115874617734057,0.255305508496476,-0.0604668744037787,0.431647000634311
"19","MiddleFrontalGyrus","Putamen",-0.5,-0.015,0,0.148666563092902,0.0348577226906047,0.0789511177116929,0.218382008474112,-0.0973903744261428,0.394723500611947
"20","SuperiorFrontalGyrus","Putamen",-0.5,-0.015,0,0.208931883124311,0.0348577226906047,0.139216437743102,0.27864732850552,-0.0371250543947339,0.454988820643356
"21","Ventral_ACC","Putamen",-0.5,-0.015,0,0.258479859705795,0.0348577226906047,0.188764414324586,0.328195305087005,0.0124229221867504,0.50453679722484
"22","Dorsal_ACC","Accum",0.5,-0.015,0,0.256807180513653,0.0331225166965053,0.190562147120642,0.323052213906664,0.0117109185556379,0.501903442471668
"23","InferiorFrontalGyrus","Accum",0.5,-0.015,0,0.175082486721899,0.0331225166965061,0.108837453328886,0.241327520114911,-0.0700137752361169,0.420178748679914
"24","Lateral_OFC","Accum",0.5,-0.015,0,0.200430507674126,0.0331225166965061,0.134185474281114,0.266675541067139,-0.0446657542838891,0.445526769632142
"25","Medial_OFC","Accum",0.5,-0.015,0,0.208916259438036,0.0331225166965061,0.142671226045024,0.275161292831048,-0.0361800025199798,0.454012521396051
"26","MiddleFrontalGyrus","Accum",0.5,-0.015,0,0.144536417796656,0.0331225166965061,0.0782913844036441,0.210781451189668,-0.100559844161359,0.389632679754672
"27","SuperiorFrontalGyrus","Accum",0.5,-0.015,0,0.193811867842958,0.0331225166965061,0.127566834449946,0.26005690123597,-0.0512843941150573,0.438908129800974
"28","Ventral_ACC","Accum",0.5,-0.015,0,0.322304515953226,0.0331225166965061,0.256059482560214,0.388549549346238,0.0772082539952106,0.567400777911242
"29","Dorsal_ACC","Caudate",0.5,-0.015,0,0.25829651715392,0.0331225166965061,0.192051483760908,0.324541550546932,0.0132002551959043,0.503392779111935
"30","InferiorFrontalGyrus","Caudate",0.5,-0.015,0,0.208117701113015,0.0331225166965062,0.141872667720002,0.274362734506027,-0.0369785608450008,0.45321396307103
"31","Lateral_OFC","Caudate",0.5,-0.015,0,0.214840168605956,0.0331225166965062,0.148595135212944,0.281085201998969,-0.0302560933520593,0.459936430563972
"32","Medial_OFC","Caudate",0.5,-0.015,0,0.169869515078176,0.0331225166965062,0.103624481685163,0.236114548471188,-0.07522674687984,0.414965777036191
"33","MiddleFrontalGyrus","Caudate",0.5,-0.015,0,0.178950219462326,0.0331225166965062,0.112705186069314,0.245195252855338,-0.0661460424956895,0.424046481420342
"34","SuperiorFrontalGyrus","Caudate",0.5,-0.015,0,0.226133860064922,0.0331225166965062,0.15988882667191,0.292378893457935,-0.0189624018930931,0.471230122022938
"35","Ventral_ACC","Caudate",0.5,-0.015,0,0.278484149793609,0.0331225166965062,0.212239116400597,0.344729183186622,0.0333878878355939,0.523580411751625
"36","Dorsal_ACC","Putamen",0.5,-0.015,0,0.433469886634877,0.0331225166965061,0.367224853241865,0.499714920027889,0.188373624676862,0.678566148592893
"37","InferiorFrontalGyrus","Putamen",0.5,-0.015,0,0.31955104038762,0.0331225166965062,0.253306006994608,0.385796073780633,0.0744547784296046,0.564647302345636
"38","Lateral_OFC","Putamen",0.5,-0.015,0,0.231366405231491,0.0331225166965062,0.165121371838479,0.297611438624504,-0.0137298567265241,0.476462667189507
"39","Medial_OFC","Putamen",0.5,-0.015,0,0.183541453515643,0.0331225166965062,0.117296420122631,0.249786486908656,-0.0615548084423723,0.428637715473659
"40","MiddleFrontalGyrus","Putamen",0.5,-0.015,0,0.186427933323939,0.0331225166965062,0.120182899930926,0.252672966716951,-0.058668328634077,0.431524195281954
"41","SuperiorFrontalGyrus","Putamen",0.5,-0.015,0,0.251358397239901,0.0331225166965062,0.185113363846889,0.317603430632914,0.00626213528188574,0.496454659197917
"42","Ventral_ACC","Putamen",0.5,-0.015,0,0.255006109690184,0.0331225166965062,0.188761076297171,0.321251143083196,0.00990984773216813,0.500102371648199
"43","Dorsal_ACC","Accum",-0.5,-0.012,0,0.220948421862591,0.0314359274673833,0.158076566927824,0.283820276797358,-0.0232577273627903,0.465154571087972
